Bayer Name	RA	Dec	Mag
86Zet Psc	1.23	7.58	6.44
87 Psc	1.24	16.13	5.97
37 Cet	1.24	-7.92	5.14
88 Psc	1.25	7.00	6.04
38 Cet	1.25	-0.97	5.7
Nu  Phe	1.25	-45.53	4.97
Kap Tuc	1.26	-68.88	4.25
39 Cet	1.28	-2.50	5.42
89 Psc	1.30	3.61	5.13
90Ups Psc	1.32	27.26	4.74
42 Cet	1.33	-0.51	5.87
34Phi Cas	1.33	58.23	4.95
35 Cas	1.35	64.66	6.33
91 Psc	1.35	28.74	5.23
46Xi  And	1.37	45.53	4.87
43 Cet	1.38	-0.45	6.5
47 And	1.39	37.71	5.6
45The Cet	1.40	-8.18	3.6
44 Cet	1.40	-8.01	6.21
46 Cet	1.43	-14.60	4.9
37Del Cas	1.43	60.24	2.66
36Psi Cas	1.43	68.13	4.72
93Rho Psc	1.44	19.17	5.35
94 Psc	1.44	19.24	5.5
47 Cet	1.45	-13.06	5.51
48Ome And	1.46	45.41	4.83
Gam Phe	1.47	-43.32	3.41
48 Cet	1.49	-21.63	5.11
97 Psc	1.50	18.36	6.01
49 And	1.50	47.01	5.27
98Mu  Psc	1.50	6.14	4.84
38 Cas	1.52	70.26	5.82
Del Phe	1.52	-49.07	3.93
99Eta Psc	1.52	15.35	3.62
39Chi Cas	1.57	59.23	4.68
49 Cet	1.58	-15.68	5.62
101 Psc	1.60	14.66	6.23
50 Cet	1.60	-15.40	5.41
Tau Scl	1.60	-29.91	5.69
50Ups And	1.61	41.41	4.1
102Pi  Psc	1.62	12.14	5.54
Alp Eri	1.63	-57.24	0.45
51 And	1.63	48.63	3.59
40 Cas	1.64	73.04	5.28
52Chi And	1.66	44.39	5.01
105 Psc	1.66	16.41	5.98
53Tau And	1.68	40.58	4.96
Tau1Hyi	1.69	-79.15	6.33
106Nu  Psc	1.69	5.49	4.45
Pi  Scl	1.70	-32.33	5.25
43 Cas	1.71	68.04	5.57
107 Psc	1.71	20.27	5.24
42 Cas	1.72	70.62	5.18
44 Cas	1.72	60.55	5.78
Phi Per	1.73	50.69	4.01
52Tau Cet	1.73	-15.94	3.49
109 Psc	1.75	20.08	6.27
110Omi Psc	1.76	9.16	4.26
Eps Scl	1.76	-25.05	5.29
Tau2Hyi	1.80	-80.18	6.05
4 Ari	1.80	16.96	5.86
53Chi Cet	1.83	-10.69	4.66
1 Ari	1.84	22.28	5.83
55Zet Cet	1.86	-10.33	3.74
1 Per	1.87	55.15	5.53
2 Per	1.87	50.79	5.7
2Alp Tri	1.88	29.58	3.42
55 And	1.89	40.73	5.42
5Gam2Ari	1.89	19.29	3.88
111Xi  Psc	1.89	3.19	4.61
Psi Phe	1.89	-46.30	4.39
Phi Phe	1.91	-42.50	5.12
45Eps Cas	1.91	63.67	3.35
6Bet Ari	1.91	20.81	2.64
Eta2Hyi	1.92	-67.65	4.68
Sig Hyi	1.93	-78.35	6.15
7 Ari	1.93	23.58	5.76
Chi Eri	1.93	-51.61	3.69
46Ome Cas	1.93	68.69	4.97
56 And	1.94	37.25	5.69
56 Cet	1.94	-22.53	4.92
8Iot Ari	1.96	17.82	5.09
9Lam Ari	1.97	23.60	4.79
3 Per	1.98	49.20	5.7
Alp Hyi	1.98	-61.57	2.86
57 Cet	2.00	-20.82	5.43
59Ups Cet	2.00	-21.08	3.99
112 Psc	2.00	3.10	5.89
Pi  For	2.02	-30.00	5.34
Chi Phe	2.03	-44.71	5.15
48 Cas	2.03	70.91	4.49
113Alp Psc	2.03	2.76	3.82
4 Per	2.04	54.49	4.99
52 Cas	2.05	64.90	6
3Eps Tri	2.05	33.28	5.5
53 Cas	2.05	64.39	5.59
60 Cet	2.05	0.13	5.42
50 Cas	2.06	72.42	3.95
10 Ari	2.06	25.94	5.64
61 Cet	2.06	-0.34	5.96
57Gam1And	2.06	42.33	2.1
Nu  For	2.07	-29.30	4.68
47 Cas	2.09	77.28	5.27
49 Cas	2.09	76.12	5.22
12Kap Ari	2.11	22.65	5.03
11 Ari	2.11	25.70	6.01
13Alp Ari	2.12	23.46	2.01
58 And	2.14	37.86	4.78
14 Ari	2.16	25.94	4.98
4Bet Tri	2.16	34.99	3
15 Ari	2.18	19.50	5.68
59 And	2.18	39.04	6.09
59 And	2.18	39.04	6.82
16 Ari	2.19	25.94	6.01
64 Cet	2.19	8.57	5.64
5 Tri	2.19	31.53	6.24
5 Per	2.19	57.65	6.38
63 Cet	2.19	-1.83	5.94
6 Tri	2.21	30.30	4.94
66 Cet	2.21	-2.39	5.65
17Eta Ari	2.21	21.21	5.23
Mu  For	2.22	-30.72	5.27
65Xi 1Cet	2.22	8.85	4.36
19 Ari	2.22	15.28	5.72
60 And	2.22	44.23	4.84
Pi 1Hyi	2.24	-67.84	5.57
