Bayer Name	RA	Dec	Mag
6Lam Lep	5.33	-13.18	4.29
7Nu  Lep	5.33	-12.32	5.29
19 Aur	5.33	33.96	5.05
22 Ori	5.36	-0.38	4.72
20Rho Aur	5.36	41.80	5.22
Kap Pic	5.37	-56.13	6.1
23 Ori	5.38	3.54	4.99
22 Aur	5.39	28.94	6.45
16 Cam	5.39	57.54	5.24
8 Lep	5.39	-13.93	5.25
110 Tau	5.39	16.70	6.09
29 Ori	5.40	-7.81	4.13
111 Tau	5.41	17.38	5
28Eta Ori	5.41	-2.40	3.35
27 Ori	5.41	-0.89	5.07
21Sig Aur	5.41	37.39	5.02
25Psi1Ori	5.41	1.85	4.89
The Pic	5.41	-52.32	6.26
24Gam Ori	5.42	6.35	1.64
113 Tau	5.43	16.70	6.23
112Bet Tau	5.44	28.61	1.65
Lam Dor	5.44	-58.91	5.14
30Psi2Ori	5.45	3.10	4.59
115 Tau	5.45	17.96	5.4
114 Tau	5.46	21.94	4.88
24Phi Aur	5.46	34.48	5.08
116 Tau	5.46	15.87	5.52
117 Tau	5.47	17.24	5.77
9Bet Lep	5.47	-20.76	2.81
118 Tau	5.49	25.15	5.47
31 Ori	5.50	-1.09	4.71
17 Cam	5.50	63.07	5.43
32 Ori	5.51	5.95	4.2
10 Lep	5.52	-20.86	5.53
Eps Col	5.52	-35.47	3.86
33 Ori	5.52	3.29	5.46
Gam Men	5.53	-76.34	5.18
36Ups Ori	5.53	-7.30	4.62
34Del Ori	5.53	-0.30	2.25
119 Tau	5.54	18.59	4.32
18 Cam	5.54	57.22	6.44
25Chi Aur	5.55	32.19	4.71
11Alp Lep	5.55	-17.82	2.58
120 Tau	5.56	18.54	5.67
Bet Dor	5.56	-62.49	3.76
35 Ori	5.57	14.31	5.6
38 Ori	5.57	3.77	5.32
37Phi1Ori	5.58	9.49	4.39
39Lam Ori	5.59	9.93	3.39
41The1Ori	5.59	-5.39	4.98
41The1Ori	5.59	-5.39	5.13
41The1Ori	5.59	-5.39	6.71
43The2Ori	5.59	-5.42	4.98
42 Ori	5.59	-4.84	4.58
44Iot Ori	5.59	-5.91	2.75
121 Tau	5.59	24.04	5.37
Iot Men	5.59	-78.82	6.04
45 Ori	5.59	-4.86	5.24
46Eps Ori	5.60	-1.20	1.69
40Phi2Ori	5.62	9.29	4.09
122 Tau	5.62	17.04	5.53
Pi  Men	5.62	-80.47	5.65
19 Cam	5.62	64.15	6.15
Nu 1Col	5.62	-27.87	6.15
123Zet Tau	5.63	21.14	2.97
Nu 2Col	5.63	-28.69	5.28
26 Aur	5.64	30.49	5.4
48Sig Ori	5.65	-2.60	3.77
49 Ori	5.65	-7.21	4.77
47Ome Ori	5.65	4.12	4.5
Alp Col	5.66	-34.07	2.65
125 Tau	5.66	25.90	5.18
50Zet Ori	5.68	-1.94	1.74
126 Tau	5.69	16.53	4.84
12 Lep	5.70	-22.37	5.88
51 Ori	5.71	1.47	4.9
24 Cam	5.72	56.58	6.05
23 Cam	5.74	61.48	6.17
13Gam Lep	5.74	-22.45	3.59
Del Dor	5.75	-65.74	4.34
27Omi Aur	5.77	49.83	5.46
Mu  Col	5.77	-32.31	5.18
26 Cam	5.78	56.12	5.93
129 Tau	5.78	15.82	6
14Zet Lep	5.78	-14.82	3.55
131 Tau	5.79	14.49	5.72
Bet Pic	5.79	-51.07	3.85
130 Tau	5.79	17.73	5.47
133 Tau	5.80	13.90	5.28
53Kap Ori	5.80	-9.67	2.07
Lam Men	5.80	-72.70	6.54
52 Ori	5.80	6.45	5.26
132 Tau	5.82	24.57	4.88
29Tau Aur	5.82	39.18	4.51
134 Tau	5.83	12.65	4.89
Gam Pic	5.83	-56.17	4.5
Eps Dor	5.83	-66.90	5.1
Kap Men	5.84	-79.36	5.46
135 Tau	5.84	14.31	5.54
29 Cam	5.84	56.92	6.53
Bet Col	5.85	-35.77	3.12
31Ups Aur	5.85	37.31	4.72
15Del Lep	5.86	-20.88	3.76
55 Ori	5.86	-7.52	5.36
32Nu  Aur	5.86	39.15	3.97
30 Cam	5.87	58.96	6.14
137 Tau	5.87	14.17	5.6
56 Ori	5.87	1.86	4.76
Lam Col	5.89	-33.80	4.88
136 Tau	5.89	27.61	4.56
54Chi1Ori	5.91	20.28	4.39
30Xi  Aur	5.91	55.71	4.96
57 Ori	5.92	19.75	5.92
31 Cam	5.92	59.89	5.2
58Alp Ori	5.92	7.41	0.45
Xi  Col	5.92	-37.12	4.97
Sig Col	5.94	-31.38	5.52
16Eta Lep	5.94	-14.17	3.71
Gam Col	5.96	-35.28	4.36
139 Tau	5.97	25.95	4.81
59 Ori	5.97	1.84	5.89
60 Ori	5.98	0.55	5.21
1 Mon	5.98	-9.38	6.15
2 Mon	5.98	-9.56	5.04
Eta Col	5.99	-42.82	3.96
33Del Aur	5.99	54.28	3.72
34Bet Aur	5.99	44.95	1.9
37The Aur	6.00	37.21	2.65
35Pi  Aur	6.00	45.94	4.3
36 Aur	6.02	47.90	5.71
3 Mon	6.03	-10.60	4.92
61Mu  Ori	6.04	9.65	4.12
38 Aur	6.05	42.91	6.08
64 Ori	6.06	19.69	5.14
62Chi2Ori	6.07	20.14	4.64
1 Gem	6.07	23.26	4.16
63 Ori	6.08	5.42	5.67
66 Ori	6.08	4.16	5.63
17 Lep	6.08	-16.48	4.92
39 Aur	6.08	42.98	5.9
18The Lep	6.10	-14.94	4.67
Eta1Dor	6.10	-66.04	5.72
40 Aur	6.11	38.48	5.35
Pi 1Col	6.11	-42.30	6.15
The Col	6.13	-37.25	5
67Nu  Ori	6.13	14.77	4.42
19 Lep	6.13	-19.17	5.28
Pi 2Col	6.13	-42.15	5.5
Nu  Dor	6.15	-68.84	5.06
3 Gem	6.16	23.11	5.75
37 Cam	6.17	58.94	5.35
Alp Men	6.17	-74.75	5.08
Del Pic	6.17	-54.97	4.72
Eta2Dor	6.19	-65.59	5.01
5 Gem	6.19	24.42	5.83
41 Aur	6.19	48.71	5.78
70Xi  Ori	6.20	14.21	4.45
68 Ori	6.20	19.79	5.76
69 Ori	6.20	16.13	4.95
6 Gem	6.21	22.91	6.51
36 Cam	6.21	65.72	5.36
71 Ori	6.25	19.16	5.2
5Gam Mon	6.25	-6.27	3.99
7Eta Gem	6.25	22.51	3.31
44Kap Aur	6.26	29.50	4.32
72 Ori	6.26	16.14	5.34
40 Cam	6.26	60.00	5.37
73 Ori	6.26	12.55	5.44
8 Gem	6.27	23.97	6.09
74 Ori	6.27	12.27	5.04
Kap Col	6.28	-35.14	4.37
9 Gem	6.28	23.74	6.24
75 Ori	6.29	9.94	5.39
42 Aur	6.29	46.42	6.53
6 Mon	6.29	-10.72	6.76
1 Lyn	6.30	61.52	5.01
43 Aur	6.30	46.36	6.33
2 Lyn	6.33	59.01	4.44
7 Mon	6.33	-7.82	5.27
1Zet CMa	6.34	-30.06	3.02
45 Aur	6.36	53.45	5.34
4 Lyn	6.37	59.37	6.05
Del Col	6.37	-33.44	3.85
Pi 1Dor	6.38	-69.98	5.56
2Bet CMa	6.38	-17.96	1.98
Nu  Pic	6.38	-56.37	5.6
13Mu  Gem	6.38	22.51	2.87
8Eps Mon	6.40	4.59	4.39
Alp Car	6.40	-52.70	-0.62
46Psi1Aur	6.41	49.29	4.92
Pi 2Dor	6.42	-69.69	5.37
5 Lyn	6.45	58.42	5.21
16 Gem	6.47	20.50	6.22
10 Mon	6.47	-4.76	5.06
Lam CMa	6.47	-32.58	4.47
48 Aur	6.48	30.49	5.75
11Bet Mon	6.48	-7.03	3.76
18Nu  Gem	6.48	20.21	4.13
47 Aur	6.50	46.69	5.88
6 Lyn	6.51	58.16	5.86
19 Gem	6.53	15.90	6.38
4Xi 1CMa	6.53	-23.42	4.34
Mu  Pic	6.53	-58.75	5.69
12 Mon	6.54	4.86	5.88
13 Mon	6.55	7.33	4.47
7 Lyn	6.58	55.35	6.45
14 Mon	6.58	7.57	6.44
5Xi 2CMa	6.58	-22.96	4.54
49 Aur	6.59	28.02	5.26
6Nu 1CMa	6.61	-18.66	5.71
7Nu 2CMa	6.61	-19.26	3.95
11 Lyn	6.63	56.86	5.87
8 Lyn	6.63	61.48	5.94
24Gam Gem	6.63	16.40	1.93
Nu  Pup	6.63	-43.20	3.17
8Nu 3CMa	6.63	-18.24	4.42
53 Aur	6.64	28.98	5.76
51 Aur	6.64	39.39	5.7
52Psi3Aur	6.65	39.90	5.34
50Psi2Aur	6.66	42.49	4.8
54 Aur	6.66	28.26	6.02
Zet Men	6.67	-80.81	5.61
15 Mon	6.68	9.90	4.66
25 Gem	6.69	28.20	6.45
26 Gem	6.71	17.65	5.2
55Psi4Aur	6.72	44.52	5.04
27Eps Gem	6.73	25.13	3.06
30 Gem	6.73	13.23	4.49
10 CMa	6.74	-31.07	5.23
28 Gem	6.75	28.97	5.42
9Alp CMa	6.75	-16.71	-1.44
31Xi  Gem	6.75	12.90	3.35
32 Gem	6.77	12.69	6.47
12 Lyn	6.77	59.44	4.86
16 Mon	6.78	8.59	5.92
56Psi5Aur	6.78	43.58	5.24
13 Lyn	6.78	57.17	5.34
11 CMa	6.78	-14.43	5.28
12 CMa	6.78	-21.02	6.07
17 Mon	6.79	8.04	4.77
57Psi6Aur	6.79	48.79	5.22
18 Mon	6.80	2.41	4.48
Alp Pic	6.80	-61.94	3.24
33 Gem	6.83	16.20	5.87
13Kap CMa	6.83	-32.51	3.5
Tau Pup	6.83	-50.61	2.94
35 Gem	6.84	13.41	5.68
58Psi7Aur	6.85	41.78	4.99
42 Cam	6.85	67.57	5.14
Iot Vol	6.86	-70.96	5.41
36 Gem	6.86	21.76	5.28
34The Gem	6.88	33.96	3.6
59 Aur	6.88	38.87	6.1
14 Lyn	6.88	59.45	5.34
60 Aur	6.89	38.44	6.32
15 CMa	6.89	-20.22	4.82
43 Cam	6.90	68.89	5.11
61Psi8Aur	6.90	38.51	6.46
16Omi1CMa	6.90	-24.18	3.89
14The CMa	6.90	-12.04	4.08
38 Gem	6.91	13.18	4.73
17 CMa	6.92	-20.40	5.8
37 Gem	6.92	25.38	5.74
19Pi  CMa	6.93	-20.14	4.66
18Mu  CMa	6.94	-14.04	5
20Iot CMa	6.94	-17.05	4.36
Psi9Aur	6.94	46.27	5.85
The Men	6.94	-79.42	5.45
15 Lyn	6.95	58.42	4.35
16 Lyn	6.96	45.09	4.9
21Eps CMa	6.98	-28.97	1.5
39 Gem	6.98	26.08	6.2
62 Aur	6.98	38.05	6.02
40 Gem	6.99	25.91	6.4
41 Gem	7.00	16.08	5.73
22Sig CMa	7.03	-27.93	3.49
42Ome Gem	7.04	24.22	5.2
19 Mon	7.05	-4.24	4.99
24Omi2CMa	7.05	-23.83	3.02
23Gam CMa	7.06	-15.63	4.11
43Zet Gem	7.07	20.57	4.01
44 Gem	7.09	22.64	6
45 Gem	7.14	15.93	5.47
25Del CMa	7.14	-26.39	1.83
Gam1Vol	7.15	-70.50	5.68
Gam2Vol	7.15	-70.50	3.78
20 Mon	7.17	-4.24	4.91
46Tau Gem	7.19	30.25	4.41
47 Gem	7.19	26.86	5.75
21 Mon	7.19	-0.30	5.44
63 Aur	7.19	39.32	4.91
22Del Mon	7.20	-0.49	4.15
26 CMa	7.20	-25.94	5.91
48 Gem	7.21	24.13	5.85
51 Gem	7.22	16.16	5.07
27 CMa	7.24	-26.35	4.42
52 Gem	7.24	24.89	5.84
28Ome CMa	7.25	-26.77	4.01
24 Mon	7.26	-0.16	6.42
18 Lyn	7.27	59.64	5.2
53 Gem	7.27	27.90	5.75
Del Vol	7.28	-67.96	3.97
Pi  Pup	7.29	-37.10	2.71
64 Aur	7.30	40.88	5.87
54Lam Gem	7.30	16.54	3.58
29 CMa	7.31	-24.56	4.88
30Tau CMa	7.31	-24.95	4.37
55Del Gem	7.34	21.98	3.5
56 Gem	7.37	20.44	5.09
65 Aur	7.37	36.76	5.12
47 Cam	7.37	59.90	6.36
19 Lyn	7.38	55.28	6.86
19 Lyn	7.38	55.28	5.8
58 Gem	7.39	22.95	6.17
57 Gem	7.39	25.05	5.04
31Eta CMa	7.40	-29.30	2.45
66 Aur	7.40	40.67	5.23
59 Gem	7.41	27.64	5.77
1 CMi	7.42	11.67	5.37
Eps Men	7.43	-79.09	5.54
2Eps CMi	7.43	9.28	4.99
60Iot Gem	7.43	27.80	3.78
21 Lyn	7.45	49.21	4.61
61 Gem	7.45	20.26	5.94
3Bet CMi	7.45	8.29	2.89
63 Gem	7.46	21.45	5.2
5Eta CMi	7.47	6.94	5.22
4Gam CMi	7.47	8.93	4.33
62Rho Gem	7.49	31.78	4.16
Sig Pup	7.49	-43.30	3.25
64 Gem	7.49	28.12	5.07
6 CMi	7.50	12.01	4.55
65 Gem	7.50	27.92	5.01
22 Lyn	7.50	49.67	5.35
7Del1CMi	7.53	1.91	5.24
8Del2CMi	7.55	3.29	5.59
68 Gem	7.56	15.83	5.27
9Del3CMi	7.57	3.37	5.83
66Alp Gem	7.58	31.89	1.58
69Ups Gem	7.60	26.90	4.06
25 Mon	7.62	-4.11	5.14
70 Gem	7.64	35.05	5.58
71Omi Gem	7.65	34.58	4.89
10Alp CMi	7.66	5.23	0.4
74 Gem	7.66	17.67	5.04
23 Lyn	7.68	57.08	6.09
26Alp Mon	7.69	-9.55	3.94
Zet Vol	7.70	-72.61	3.93
24 Lyn	7.72	58.71	4.93
75Sig Gem	7.72	28.88	4.23
1 Pup	7.73	-28.41	4.63
3 Pup	7.73	-28.95	3.94
76 Gem	7.74	25.78	5.3
77Kap Gem	7.74	24.40	3.57
79 Gem	7.75	20.32	6.53
78Bet Gem	7.76	28.03	1.16
2 Pup	7.76	-14.69	7.03
2 Pup	7.76	-14.69	6.06
4 Pup	7.77	-14.56	5.03
81 Gem	7.77	18.51	4.89
11 CMi	7.77	10.77	5.25
49 Cam	7.77	62.83	6.5
51 Cam	7.78	65.46	5.93
80Pi  Gem	7.79	33.42	5.14
5 Pup	7.80	-12.19	5.48
Omi Pup	7.80	-25.94	4.4
82 Gem	7.81	23.14	6.18
7Xi  Pup	7.82	-24.86	3.34
6 Pup	7.83	-17.23	5.17
8 Pup	7.86	-12.82	6.37
13Zet CMi	7.86	1.77	5.12
9 Pup	7.86	-13.90	5.16
10 Pup	7.87	-14.85	5.69
83Phi Gem	7.89	26.77	4.97
25 Lyn	7.91	47.39	6.25
26 Lyn	7.91	47.56	5.47
85 Gem	7.93	19.88	5.38
Chi Car	7.95	-52.98	3.46
11 Pup	7.95	-22.88	4.2
1 Cnc	7.95	15.79	5.8
14 CMi	7.97	2.22	5.3
12 Pup	7.98	-23.31	5.09
27 Mon	8.00	-3.68	4.93
3 Cnc	8.01	17.31	5.6
2Ome1Cnc	8.02	25.39	5.87
28 Mon	8.02	-1.39	4.69
5 Cnc	8.03	16.46	5.99
53 Cam	8.03	60.32	6.02
4Ome2Cnc	8.03	25.09	6.32
Chi Gem	8.06	27.79	4.94
Zet Pup	8.06	-40.00	2.21
14 Pup	8.08	-19.73	6.12
8 Cnc	8.08	13.12	5.14
9Mu 1Cnc	8.11	22.64	5.96
28 Lyn	8.12	43.26	6.35
15Rho Pup	8.13	-24.30	2.83
10Mu 2Cnc	8.13	21.58	5.3
Eps Vol	8.13	-68.62	4.35
27 Lyn	8.14	51.51	4.78
29Zet Mon	8.14	-2.98	4.36
12 Cnc	8.15	13.64	6.25
16 Pup	8.15	-19.25	4.4
Gam2Vel	8.16	-47.34	1.75
14Psi Cnc	8.17	25.51	5.73
18 Pup	8.18	-13.80	5.53
19 Pup	8.19	-12.93	4.72
16Zet2Cnc	8.20	17.65	4.67
15 Cnc	8.22	29.66	5.62
20 Pup	8.22	-15.79	4.99
17Bet Cnc	8.28	9.19	3.53
21 Pup	8.29	-16.29	6.32
29 Lyn	8.30	59.57	5.63
Alp Cha	8.31	-76.92	4.05
Kap1Vol	8.33	-71.51	5.33
Kap2Vol	8.33	-71.51	5.63
18Chi Cnc	8.33	27.22	5.13
30 Lyn	8.34	57.74	5.89
19Lam Cnc	8.34	24.02	5.92
The Cha	8.34	-77.48	4.34
Eta Vol	8.37	-73.40	5.28
Eps Car	8.38	-59.51	1.86
22 Pup	8.38	-13.05	6.13
31 Lyn	8.38	43.19	4.25
20 Cnc	8.39	18.33	5.94
21 Cnc	8.40	10.63	6.11
1 Hya	8.41	-3.75	5.61
Bet Vol	8.43	-66.14	3.77
25 Cnc	8.43	17.05	6.11
2 Hya	8.44	-3.99	5.6
22Phi1Cnc	8.44	27.89	5.58
24 Cnc	8.44	24.53	6.51
27 Cnc	8.45	12.65	5.56
23Phi2Cnc	8.45	26.94	6.3
28 Cnc	8.48	24.15	6.05
29 Cnc	8.48	14.21	5.94
1Omi UMa	8.50	60.72	3.35
30Ups1Cnc	8.53	24.08	5.71
31The Cnc	8.53	18.09	5.33
34 Cnc	8.54	10.07	6.48
33Eta Cnc	8.55	20.44	5.33
32Ups2Cnc	8.55	24.08	6.35
32 Lyn	8.56	36.44	6.2
2 UMa	8.58	65.15	5.47
33 Lyn	8.58	36.42	5.76
35 Cnc	8.59	19.59	6.55
3 Hya	8.59	-7.98	5.72
36 Cnc	8.62	9.66	5.92
4Del Hya	8.63	5.70	4.14
Eta Pyx	8.63	-26.25	5.24
37 Cnc	8.63	9.57	6.54
5Sig Hya	8.65	3.34	4.45
The Vol	8.65	-70.39	5.19
3Pi 1UMa	8.65	65.02	5.63
Zet Pyx	8.66	-29.56	4.86
6 Hya	8.67	-12.48	4.98
Bet Pyx	8.67	-35.31	3.97
39 Cnc	8.67	20.01	6.39
4Pi 2UMa	8.67	64.33	4.59
41Eps Cnc	8.67	19.54	6.29
34 Lyn	8.68	45.83	5.35
Eta Cha	8.69	-78.96	5.46
9 Hya	8.70	-15.94	4.87
45 Cnc	8.72	12.68	5.62
7Eta Hya	8.72	3.40	4.3
43Gam Cnc	8.72	21.47	4.66
Alp Pyx	8.73	-33.19	3.68
47Del Cnc	8.74	18.15	3.94
Del Vel	8.75	-54.71	1.93
49 Cnc	8.75	10.08	5.63
10 Hya	8.75	5.68	6.13
46 Cnc	8.76	30.70	6.12
12 Hya	8.77	-13.55	4.32
48Iot Cnc	8.78	28.77	6.58
48Iot Cnc	8.78	28.76	4.03
11Eps Hya	8.78	6.42	3.38
50 Cnc	8.78	12.11	5.89
13Rho Hya	8.81	5.84	4.35
14 Hya	8.82	-3.44	5.3
Gam Pyx	8.84	-27.71	4.02
54 Cnc	8.85	15.35	6.36
15 Hya	8.86	-7.18	5.55
35 Lyn	8.87	43.73	5.15
53 Cnc	8.87	28.26	6.25
51Sig1Cnc	8.88	32.47	5.67
55Rho1Cnc	8.88	28.33	5.96
5 UMa	8.89	61.96	5.72
57 Cnc	8.90	30.58	5.4
16Zet Hya	8.92	5.95	3.11
17 Hya	8.92	-7.97	6.07
Del Pyx	8.93	-27.68	4.87
58Rho2Cnc	8.93	27.93	5.23
60 Cnc	8.93	11.63	5.44
6 UMa	8.94	64.60	5.57
Zet Oct	8.94	-85.66	5.43
59Sig2Cnc	8.95	32.91	5.44
62Omi1Cnc	8.95	15.32	5.22
63Omi2Cnc	8.96	15.58	5.68
61 Cnc	8.97	30.23	6.25
65Alp Cnc	8.97	11.86	4.26
9Iot UMa	8.99	48.04	3.12
64Sig3Cnc	8.99	32.42	5.23
66 Cnc	9.02	32.25	5.89
67 Cnc	9.03	27.90	6.07
Alp Vol	9.04	-66.40	4
8Rho UMa	9.04	67.63	4.74
69Nu  Cnc	9.05	24.45	5.45
12Kap UMa	9.06	47.16	3.57
70 Cnc	9.07	27.90	6.67
18Ome Hya	9.10	5.09	4.99
76Kap Cnc	9.13	10.67	5.23
Lam Vel	9.13	-43.43	2.23
72Tau Cnc	9.13	29.65	5.42
Kap Pyx	9.13	-25.86	4.62
11Sig1UMa	9.14	66.87	5.15
19 Hya	9.15	-8.59	5.6
75 Cnc	9.15	26.63	5.95
15 UMa	9.15	51.60	4.46
77Xi  Cnc	9.16	22.05	5.16
20 Hya	9.16	-8.79	5.47
Eps Pyx	9.17	-30.37	5.59
79 Cnc	9.17	22.00	6.04
13Sig2UMa	9.17	67.13	4.8
14Tau UMa	9.18	63.51	4.67
81Pi 1Cnc	9.20	15.00	6.49
21 Hya	9.21	-7.11	6.1
Bet Car	9.22	-69.72	1.67
36 Lyn	9.23	43.22	5.3
16 UMa	9.24	61.42	5.18
22The Hya	9.24	2.32	3.89
82Pi 2Cnc	9.25	14.94	5.36
17 UMa	9.26	56.74	5.28
18 UMa	9.27	54.02	4.8
24 Hya	9.28	-8.74	5.49
23 Hya	9.28	-6.35	5.24
Iot Car	9.28	-59.28	2.21
38 Lyn	9.31	36.80	3.82
26 Hya	9.33	-11.97	4.77
27 Hya	9.34	-9.56	4.8
40Alp Lyn	9.35	34.39	3.14
The Pyx	9.36	-25.97	4.71
Kap Vel	9.37	-55.01	2.47
Lam Pyx	9.39	-28.83	4.71
Iot Cha	9.40	-80.79	5.34
1Kap Leo	9.41	26.18	4.47
28 Hya	9.42	-5.12	5.6
29 Hya	9.45	-9.22	6.53
30Alp Hya	9.46	-8.66	1.99
2Ome Leo	9.47	9.06	5.4
3 Leo	9.47	8.19	5.72
31Tau1Hya	9.49	-2.77	4.59
Eps Ant	9.49	-35.95	4.51
Psi Vel	9.51	-40.47	3.6
7 LMi	9.51	33.66	5.87
Zet1Ant	9.51	-31.89	5.75
23 UMa	9.53	63.06	3.65
Zet2Ant	9.53	-31.87	5.91
8 LMi	9.53	35.10	5.39
4Lam Leo	9.53	22.97	4.32
5Xi  Leo	9.53	11.30	4.99
6 Leo	9.53	9.72	5.07
32Tau2Hya	9.53	-1.18	4.54
25The UMa	9.55	51.68	3.17
9 LMi	9.56	36.49	6.19
Zet Cha	9.56	-80.94	5.07
10 LMi	9.57	36.40	4.54
24 UMa	9.57	69.83	4.54
33 Hya	9.58	-5.91	5.56
26 UMa	9.58	52.05	4.47
22 UMa	9.58	72.21	5.77
11 LMi	9.59	35.81	5.4
7 Leo	9.60	14.38	6.32
8 Leo	9.62	16.44	5.73
10 Leo	9.62	6.84	5
34 Hya	9.63	-9.42	6.4
42 Lyn	9.64	40.24	5.28
37 Hya	9.66	-10.57	6.31
35Iot Hya	9.66	-1.14	3.9
38Kap Hya	9.67	-14.33	5.07
14Omi Leo	9.69	9.89	3.52
13 Leo	9.69	25.91	6.26
43 Lyn	9.70	39.76	5.61
13 LMi	9.71	35.09	6.12
27 UMa	9.72	72.25	5.15
15 Leo	9.73	29.97	5.64
16Psi Leo	9.73	14.02	5.36
The Ant	9.74	-27.77	4.78
17Eps Leo	9.76	23.77	2.97
28 UMa	9.77	63.65	6.51
Nu  Cha	9.77	-76.78	5.43
18 Leo	9.77	11.81	5.67
Ups Car	9.79	-65.07	2.92
19 Leo	9.79	11.57	6.44
20 Leo	9.83	21.18	6.1
4 Sex	9.84	4.34	6.24
29Ups UMa	9.85	59.04	3.78
23 Leo	9.85	13.07	6.45
6 Sex	9.85	-4.24	6.01
39Ups1Hya	9.86	-14.85	4.11
22 Leo	9.86	24.40	5.29
30Phi UMa	9.87	54.06	4.55
7 Sex	9.87	2.45	6.02
8Gam Sex	9.88	-8.10	5.07
24Mu  Leo	9.88	26.01	3.88
31 UMa	9.93	49.82	5.27
Phi Vel	9.95	-54.57	3.52
19 LMi	9.96	41.06	5.11
27Nu  Leo	9.97	12.44	5.26
Eta Ant	9.98	-35.89	5.23
12 Sex	10.00	3.38	6.69
29Pi  Leo	10.00	8.04	4.68
Mu 1Cha	10.01	-82.21	5.53
20 LMi	10.02	31.92	5.37
Mu 2Cha	10.07	-81.57	6.6
13 Sex	10.07	3.20	6.43
40Ups2Hya	10.09	-13.06	4.6
14 Sex	10.11	5.61	6.2
30Eta Leo	10.12	16.76	3.48
21 LMi	10.12	35.24	4.49
31 Leo	10.13	10.00	4.39
15Alp Sex	10.13	-0.37	4.48
32Alp Leo	10.14	11.97	1.36
17 Sex	10.17	-8.41	5.91
41Lam Hya	10.18	-12.35	3.61
18 Sex	10.18	-8.42	5.64
34 Leo	10.19	13.36	6.43
19 Sex	10.21	4.61	5.77
Ome Car	10.23	-70.04	3.29
22 LMi	10.25	31.47	6.47
23 LMi	10.27	29.31	5.49
24 LMi	10.27	28.68	6.46
35 Leo	10.28	23.50	5.95
37 Leo	10.28	13.73	5.42
36Zet Leo	10.28	23.42	3.43
33Lam UMa	10.28	42.91	3.45
39 Leo	10.29	23.11	5.81
22Eps Sex	10.29	-8.07	5.25
32 UMa	10.30	65.11	5.74
40 Leo	10.33	19.47	4.78
41Gam1Leo	10.33	19.84	2.01
23 Sex	10.35	2.29	6.66
42 Leo	10.36	14.98	6.16
34Mu  UMa	10.37	41.50	3.06
43 Leo	10.38	6.54	6.06
27 LMi	10.39	33.91	5.89
25 Sex	10.39	-4.07	5.93
28 LMi	10.40	33.72	5.52
44 Leo	10.42	8.78	5.61
30 LMi	10.43	33.80	4.72
42Mu  Hya	10.43	-16.84	3.83
Alp Ant	10.45	-31.07	4.28
45 Leo	10.46	9.76	6.01
31Bet LMi	10.46	36.71	4.2
29Del Sex	10.49	-2.74	5.19
Del Ant	10.49	-30.61	5.57
35 UMa	10.50	65.63	6.32
32 LMi	10.50	38.93	5.79
30Bet Sex	10.50	-0.64	5.08
36 UMa	10.51	55.98	4.82
33 LMi	10.53	32.38	5.9
46 Leo	10.54	14.14	5.43
47Rho Leo	10.55	9.31	3.84
34 LMi	10.56	34.99	5.57
44 Hya	10.57	-23.75	5.08
48 Leo	10.58	6.95	5.07
49 Leo	10.58	8.65	5.67
37 UMa	10.59	57.08	5.16
Gam Cha	10.59	-78.61	4.11
Phi2Hya	10.60	-16.34	6.01
35 LMi	10.61	36.33	6.29
Phi3Hya	10.64	-16.88	4.91
37 LMi	10.65	31.98	4.68
38 LMi	10.65	37.91	5.84
33 Sex	10.69	-1.74	6.25
38 UMa	10.70	65.72	5.12
The Car	10.72	-64.39	2.74
40 LMi	10.72	26.33	5.51
35 Sex	10.72	4.75	5.77
41 LMi	10.72	23.19	5.08
39 UMa	10.73	57.20	5.79
36 Sex	10.75	2.49	6.27
Del1Cha	10.75	-80.47	5.46
Del2Cha	10.76	-80.54	4.45
42 LMi	10.76	30.68	5.36
41 UMa	10.77	57.37	6.34
51 Leo	10.77	18.89	5.5
52 Leo	10.77	14.19	5.49
Mu  Vel	10.78	-49.42	2.69
43 LMi	10.82	29.42	6.15
53 Leo	10.82	10.55	5.32
40 Sex	10.82	-4.02	6.61
Nu  Hya	10.83	-16.19	3.11
44 LMi	10.83	27.97	6.05
41 Sex	10.84	-8.90	5.8
43 UMa	10.85	56.58	5.66
42 UMa	10.86	59.32	5.57
46 LMi	10.89	34.22	3.79
44 UMa	10.89	54.59	5.12
45Ome UMa	10.90	43.19	4.66
48 LMi	10.91	25.49	6.19
54 Leo	10.93	24.75	4.3
55 Leo	10.93	0.74	5.91
46 UMa	10.93	33.51	5.02
56 Leo	10.93	6.19	5.91
50 LMi	10.94	25.50	6.36
Iot Ant	10.95	-37.14	4.6
Eta Oct	10.99	-84.59	6.19
47 UMa	10.99	40.43	5.03
7Alp Crt	11.00	-18.30	4.08
58 Leo	11.01	3.62	4.84
59 Leo	11.01	6.10	4.98
49 UMa	11.01	39.21	5.06
61 Leo	11.03	-2.48	4.73
48Bet UMa	11.03	56.38	2.34
60 Leo	11.04	20.18	4.42
62 Leo	11.06	-0.00	5.95
50Alp UMa	11.06	61.75	1.81
51 UMa	11.08	38.24	6.01
63Chi Leo	11.08	7.34	4.62
Chi1Hya	11.09	-27.29	4.92
Chi2Hya	11.10	-27.29	5.69
65 Leo	11.12	1.96	5.52
64 Leo	11.13	23.32	6.48
67 Leo	11.15	24.66	5.7
52Psi UMa	11.16	44.50	3
